Position X [m],Position Y [m],Position Z [m],Diameter [m]
-4.466087396,-4.922492821,0.311988259,0.643182456
-4.484142078,-4.76184869,0.991605145,0.767888606
-4.399694253,-4.663226224,1.691197388,0.671333373
-3.856210394,-4.449375475,1.262730937,0.76888746
-4.545481003,-4.347457638,2.408627615,0.81078136
-4.171330436,-3.970013408,1.811317499,0.846433103
-4.956575554,-4.757581026,3.010182947,0.914848804
-4.611348661,-4.895273145,3.795980474,0.889297664
-4.856625217,-4.956097804,4.526749094,0.691779912
-4.47288231,-4.869421496,5.156610309,0.818539262
-4.07872061,-4.555764601,3.20785276,0.861010551
-4.183044345,-4.641339901,4.45894735,0.831682444
-4.717218771,-4.014901556,4.90985381,0.905916214
-3.89773907,-3.874113768,3.287004747,0.609213412
-3.82810143,-4.0916249,4.953278887,0.85712868
-3.329759526,-4.9914452,1.488219966,0.846984863
-3.119722787,-4.425320051,0.938265713,0.793596566
-2.5594425,-4.932396924,1.184326225,0.828698277
-2.60053449,-4.905971312,2.374718954,0.767989695
-3.387839352,-4.12612043,1.758356362,0.77979511
-2.652685084,-4.17725861,1.517581355,0.81064719
-2.67491487,-4.150426269,2.296424815,0.767651618
-3.395216971,-4.755004522,3.573996628,0.760350466
-3.539707185,-4.795590639,4.82289886,0.565627098
-3.403810892,-4.388714731,4.269713508,0.879323542
-3.143363546,-4.385083058,4.985663464,0.661226273
-2.564221482,-4.892498639,3.11808261,0.767620027
-3.742450815,-4.193042453,2.498846553,0.869839072
-2.895466185,-4.182696965,3.638126957,0.790248096
-4.721866552,-3.584418202,0.881713412,0.76802808
-4.032956646,-3.533853268,1.183142282,0.767175376
-4.624933254,-2.72193328,1.580129864,0.775216818
-3.925479664,-2.841495262,1.370127265,0.724439681
-4.555526897,-3.679849228,3.901563762,0.678738475
-4.498657095,-3.205391925,4.911105301,0.788191795
-4.149701469,-3.321834204,4.30288161,0.673572183
-3.835648518,-3.373138065,4.871317538,0.620553732
-3.972228092,-3.091093282,3.091968853,0.700013816
-4.292258343,-2.609468562,3.371541665,0.629421711
-4.055374122,-2.550160239,2.665818309,0.70498395
-4.067170341,-2.551403577,3.958929299,0.64956671
-3.975971728,-2.798621827,4.636293782,0.666024268
-3.248641965,-3.249322774,0.32214382,0.675333738
-3.365357383,-3.459577006,2.211744483,0.890711606
-3.041100543,-3.511229696,1.479220872,0.75486356
-3.487550866,-2.693360398,2.264001989,0.697969615
-3.228439655,-2.799634305,1.080754081,0.799845576
-2.72714616,-2.686542854,0.435011106,0.901030183
-2.645495304,-3.039319201,1.886890782,0.689969182
-3.592366159,-3.660953251,4.358371889,0.690616548
-2.764176544,-3.409669909,3.674068356,0.804806888
-2.712039276,-3.256998886,4.474289549,0.839592457
-2.644642394,-3.42343488,5.221684934,0.746191561
-3.303950802,-3.010636449,2.886536367,0.751436532
-3.598756624,-2.57592496,3.432634615,0.7813375
-3.229751625,-2.600650558,4.58247516,0.898709774
-2.984472358,-2.760917547,3.646566625,0.570802271
-2.734175989,-2.507475713,3.079886257,0.789070368
-4.996551221,-4.46862953,5.553639401,0.770333767
-3.83710086,-4.59281957,7.523925807,0.774212182
-4.737339375,-3.850356807,5.795934942,0.714174926
-4.93415253,-3.839124676,6.519957528,0.834254622
-4.507047497,-4.283048548,7.601374128,0.710355639
-4.312059532,-4.269932138,5.503154684,0.669881761
-4.243703964,-4.264688049,6.268574672,0.909863234
-3.782634156,-3.951917435,5.679678877,0.67544806
-4.878351082,-4.385037865,10.01227064,0.532417417
-3.817692359,-4.947698026,9.052792119,0.724025071
-4.144216157,-4.494192088,9.661455263,0.940023243
-3.978093675,-4.640964224,10.44157395,0.698344886
-4.673940512,-4.12848871,8.323996902,0.814709604
-4.563113869,-4.214626988,10.5703588,0.786953628
-4.066513104,-4.374412576,8.666606582,0.703602612
-4.346686288,-3.887505671,9.119686099,0.754851103
-3.883242764,-3.83483392,8.24663663,0.715796709
-3.344353055,-4.574532612,6.34337273,0.692436039
-3.185034377,-4.976066231,7.698607561,0.771923482
-2.784962853,-4.733177738,6.809403279,0.810285926
-3.194166312,-3.871621963,6.013061876,0.756814778
-3.711276931,-4.29150987,6.857010684,0.717905104
-2.574465687,-3.882795378,5.723946743,0.642888129
-3.009533527,-3.920351139,6.870677819,0.89381808
-3.286596356,-4.667711737,10.42713205,0.718008459
-2.972898435,-4.615396993,8.400880526,0.908745825
-3.010690621,-4.983052516,9.82655835,0.782854617
-3.24715277,-3.898171503,8.433927653,0.63106674
-3.512047062,-4.017866866,10.73032081,0.83670944
-3.275912796,-3.950975308,9.645883111,0.63667208
-3.026730226,-4.11626021,8.959703793,0.605827928
-2.777930332,-4.371334,9.49358088,0.718741119
-2.579530529,-3.928531323,8.522516,0.727342367
-2.878609024,-4.052768495,10.2860733,0.74358511
-4.937683199,-3.40057914,8.061571132,0.853535831
-4.423986097,-3.283652365,6.793642115,0.749853134
-3.7702814,-3.562492107,6.451841996,0.858866215
-4.285920467,-3.024387707,6.089451559,0.788558483
-3.811175083,-2.732677723,5.611493847,0.690193355
-3.808048645,-2.589063134,6.394168088,0.673055351
-4.168852994,-3.52149813,10.68823771,0.845811427
